22:45:46  |  Core  |  Info  |  FactoryManager successfully initialized  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  27
22:45:46  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  33
22:45:46  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  45
22:45:46  |  Core  |  Info  |  Gui successfully initialized  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  111
22:45:46  |  Core  |  Info  |  Load ini file 'skins.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'core.skin'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_resources.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_font.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using texture size 512 x 256.  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  717
22:45:46  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'MonoFont' using real height 26 pixels.  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  718
22:45:46  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Journalbook MonoFont' using texture size 512 x 512.  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  717
22:45:46  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'Journalbook MonoFont' using real height 35 pixels.  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  718
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_text.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_windows.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
22:45:46  |  Core  |  Info  |  Load ini file 'openmw_button.skin.xml'  |  /home/openmwbuild/deps/mygui/mygui-MyGUI3.4.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  114
